scoring_format,Rank,Player,Team,position,POS,PlayerTeam (Bye),Bye,ds_auction_value,market_auction_value,ds_adp,ds_proj,consensus_proj,floor_proj,ceiling_proj,injury_risk,sos
ppr,1,Bijan Robinson,ATL,RB,RB1,Bijan Robinson ATL(11),11,49.0,59.0,1.01,277,262.0,235.3,323.9,0%,-3.2%
ppr,2,Jahmyr Gibbs,DET,RB,RB2,Jahmyr Gibbs DET(6),6,49.0,55.0,1.02,276,265.0,229.1,325.8,0%,0.9%
ppr,3,Puka Nacua,LAR,WR,WR1,Puka Nacua LAR(11),11,47.0,42.0,1.05,230,211.0,188.9,253.4,0%,-3.1%
ppr,4,Jonathan Taylor,IND,RB,RB3,Jonathan Taylor IND(13),13,45.0,60.0,1.09,264,256.0,227.2,311.7,0%,1.7%
ppr,5,Ja'Marr Chase,CIN,WR,WR2,Ja'Marr Chase CIN(6),6,44.0,40.0,1.03,215,195.0,189.4,254.0,0%,4%
ppr,6,Jaxon Smith-Njigba,SEA,WR,WR3,Jaxon Smith-Njigba SEA(11),11,43.0,42.0,2.03,213,199.0,193.7,249.0,0%,-0.1%
ppr,7,Christian McCaffrey,SF,RB,RB4,Christian McCaffrey SF(8),8,42.0,43.0,1.04,255,237.0,211.3,318.2,0%,0.7%
ppr,8,James Cook,BUF,RB,RB5,James Cook BUF(7),7,41.0,57.0,2.02,250,230.0,219.8,307.2,0%,-4.2%
ppr,9,Derrick Henry,BAL,RB,RB6,Derrick Henry BAL(13),13,39.0,65.0,2.05,242,236.0,215.1,307.0,0%,-0.1%
ppr,10,Amon-Ra St. Brown,DET,WR,WR4,Amon-Ra St. Brown DET(6),6,38.0,35.0,1.12,203,184.0,183.0,225.7,0%,-1%
ppr,11,CeeDee Lamb,DAL,WR,WR5,CeeDee Lamb DAL(14),14,37.0,36.0,1.08,196,165.0,172.5,235.2,0%,-0.7%
ppr,12,Justin Jefferson,MIN,WR,WR6,Justin Jefferson MIN(6),6,36.0,32.0,1.11,189,161.0,164.7,248.0,0%,4.9%
ppr,13,Saquon Barkley,PHI,RB,RB7,Saquon Barkley PHI(10),10,36.0,43.0,1.06,228,214.0,207.8,317.4,0%,4.4%
ppr,14,Ashton Jeanty,LVR,RB,RB8,Ashton Jeanty LVR(13),13,35.0,37.0,1.07,231,212.0,205.9,296.1,0%,-3.1%
ppr,15,Nico Collins,HOU,WR,WR7,Nico Collins HOU(8),8,33.0,29.0,2.12,186,159.0,166.0,221.9,0%,4.4%
ppr,16,Josh Jacobs,GB,RB,RB9,Josh Jacobs GB(11),11,32.0,34.0,2.04,230,205.0,195.2,277.9,0%,-2.2%
ppr,17,Josh Allen,BUF,QB,QB1,Josh Allen BUF(7),7,31.0,32.0,2.09,379,364.0,306.9,443.3,0%,-3.4%
ppr,18,George Pickens,DAL,WR,WR8,George Pickens DAL(14),14,31.0,29.0,3.07,177,161.0,159.2,221.1,0%,-0.7%
