player_id,player_name,position,age,total_games,seasons,ppg,projected_fpts,replacement_pts,par,auction_value,adp_rank,years_of_experience_x,years_of_experience_y,headshot_url,latest_team,ds_proj,consensus_proj,injury_risk,sos,ds_auction_value,Team,Bye,fpts_2025
00-0033280,Christian McCaffrey,RB,,37.0,3.0,23.075572519083973,343.64868559372724,109.10619302376719,234.54249256996005,41.8,7.0,,10.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/resjdwihunsqckohcorj",SF,255.0,241.0,0%,0%,42.0,SF,14.0,414.6
00-0039075,Puka Nacua,WR,,44.0,3.0,20.951475409836064,319.07517219805646,109.28942998067417,209.78574221738228,45.4,3.0,,4.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zvi4hdm6fywcekfe7ceb",LA,230.0,210.0,0%,0%,47.0,LAR,8.0,375.0
00-0039139,Jahmyr Gibbs,RB,,49.0,3.0,20.397421203438398,314.74925613470333,109.10619302376719,205.64306311093614,47.0,2.0,,4.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hjxk3judytgsxkqiilre",DET,276.0,264.0,0%,0%,49.0,DET,8.0,366.6
00-0036900,Ja'Marr Chase,WR,,49.0,3.0,20.430320699708457,314.71337702804743,109.28942998067417,205.42394704737325,42.8,5.0,,6.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qya3dtjb5kgofcuj2tuw",CIN,215.0,193.0,0%,0%,44.0,CIN,10.0,313.6
00-0038542,Bijan Robinson,RB,,51.0,3.0,19.750980392156862,306.3348430036255,109.10619302376719,197.22864997985832,46.8,1.0,,4.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rjaf9auhx3lrktzgwpfb",ATL,277.0,262.0,0%,0%,49.0,ATL,5.0,368.8
00-0036963,Amon-Ra St. Brown,WR,,50.0,3.0,19.238951841359775,297.8157657396098,109.28942998067417,188.5263357589356,37.2,10.0,,6.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fd8nwhm6pvxfyzphzl6i",DET,203.0,183.0,0%,0%,38.0,DET,8.0,324.0
00-0036223,Jonathan Taylor,RB,,41.0,3.0,19.336038961038962,294.42601822567474,109.10619302376719,185.31982520190755,43.1,4.0,,7.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uwmnrhwtwug0wrgkomjk",IND,264.0,257.0,0%,0%,45.0,IND,11.0,360.3
00-0039040,De'Von Achane,RB,,44.0,3.0,18.83312693498452,289.1698977804294,109.10619302376719,180.0637047566622,29.4,22.0,,4.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xk1xwio0bryfxo1ylweu",MIA,217.0,216.0,0%,0%,29.0,MIA,12.0,322.1
00-0036358,CeeDee Lamb,WR,,45.0,3.0,17.992079207920792,277.05935739247104,109.28942998067417,167.76992741179686,35.8,11.0,,7.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ijxzvtumjhqu3zva1bwc",DAL,196.0,164.0,0%,0%,37.0,DAL,10.0,200.9
00-0032764,Derrick Henry,RB,,51.0,3.0,17.235294117647054,269.36704639345595,109.10619302376719,160.26085336968876,37.4,9.0,,11.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jxtikemnvpkw9r0ex2wv",BAL,242.0,235.0,0%,0%,39.0,BAL,7.0,279.5
